地域,得票数,得票率
北九州市門司区,757,1.9
北九州市小倉北区,1858,2.6
北九州市小倉南区,1613,1.9
北九州市若松区,567,1.7
北九州市八幡東区,596,2.1
北九州市八幡西区,2043,2.0
北九州市戸畑区,539,2.2
福岡市東区,4415,3.0
福岡市博多区,3495,3.3
福岡市中央区,4735,4.9
福岡市南区,3882,3.2
福岡市城南区,1834,3.0
福岡市早良区,3491,3.3
福岡市西区,3155,3.2
大牟田市,666,1.4
久留米市,2562,2.0
直方市,331,1.4
飯塚市,870,1.6
田川市,202,1.1
柳川市,330,1.2
八女市,350,1.3
筑後市,375,1.7
大川市,192,1.4
行橋市,448,1.4
豊前市,130,1.1
中間市,223,1.4
小郡市,611,2.1
筑紫野市,1290,2.5
春日市,1388,2.6
大野城市,1317,2.6
宗像市,983,2.1
太宰府市,825,2.4
古賀市,557,2.0
福津市,802,2.5
うきは市,177,1.4
宮若市,130,1.1
嘉麻市,155,1.0
朝倉市,270,1.2
みやま市,175,1.1
糸島市,1240,2.6
那珂川市,466,2.1
宇美町,228,1.4
篠栗町,291,2.0
志免町,387,2.0
須恵町,223,1.9
新宮町,441,2.9
久山町,71,1.7
粕屋町,534,2.6
芦屋町,87,1.5
水巻町,177,1.5
岡垣町,223,1.5
遠賀町,117,1.3
小竹町,42,1.3
鞍手町,85,1.2
桂川町,63,1.1
筑前町,199,1.5
東峰村,13,1.4
大刀洗町,95,1.4
大木町,72,1.2
広川町,112,1.3
香春町,57,1.3
添田町,27,0.7
糸田町,30,0.9
川崎町,36,0.6
大任町,12,0.6
赤村,15,1.2
福智町,75,0.9
苅田町,229,1.4
みやこ町,87,1.1
吉富町,38,1.3
上毛町,32,0.9
築上町,78,1.0
